timestamp,vehicle,ward,phase,location_name,latitude,longitude
2025-10-13 08:58:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449967,77.018736
2025-10-13 08:59:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449858,77.018716
2025-10-13 09:00:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449809,77.018695
2025-10-13 09:01:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449759,77.018674
2025-10-13 09:02:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449710,77.018653
2025-10-13 09:03:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449660,77.018632
2025-10-13 09:04:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449611,77.018611
2025-10-13 09:05:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449562,77.018590
2025-10-13 09:06:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449512,77.018569
2025-10-13 09:07:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449482,77.018601
2025-10-13 09:08:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449459,77.018655
2025-10-13 09:09:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449436,77.018709
2025-10-13 09:10:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449415,77.018764
2025-10-13 09:11:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449395,77.018820
2025-10-13 09:12:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449376,77.018876
2025-10-13 09:13:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449356,77.018932
2025-10-13 09:14:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449337,77.018987
2025-10-13 09:15:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449318,77.019043
2025-10-13 09:16:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449298,77.019099
2025-10-13 09:17:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449279,77.019155
2025-10-13 09:18:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449260,77.019210
2025-10-13 09:19:00,HR26DP0703,19,TRAVEL_OUT,Om Nagar,28.449240,77.019266
